Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short desBWiption,DesBWiption,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,BWoss-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
simple,BW-100301,When We Believed in Mermaids: A Novel,1,1,visible,This is a variable product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.5,24,1,2,1,,,2,Literature & Fiction > Genre Fiction,,,https://madrasthemes.github.io/assets/bookworm/book-covers/1.jpg,,,,,,,,,0,BookAuthor ,Barbara O'Neal,1,1,Format,Paperback,1,1,1,,,,
simple,BW-100302,Angry God (All Saints High Book 3),1,0,visible,This is a variable product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,1.5,10,8,3,1,,1.3,1.75,Romance,,,https://madrasthemes.github.io/assets/bookworm/book-covers/22.jpg,,,,,,,,,0,BookAuthor ,L.J. Shen,1,1,Format,Kindle,1,1,1,,,,
simple,BW-100303,Last Day,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,2,10,6,3,1,,,1.75,"Mystery, Thriller & Suspense",,,https://madrasthemes.github.io/assets/bookworm/book-covers/3.jpg,,,,,,,,,0,BookAuthor ,Luanne Rice,1,1,Format,Kindle,1,1,1,,,,
simple,BW-100304,Winter Garden,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.8,8,6,1,1,,,11.99,Literature & Fiction > Genre Fiction,,,https://madrasthemes.github.io/assets/bookworm/book-covers/4.jpg,,,,,,,,,0,BookAuthor ,Kristin Hannah,1,1,Format,Paperback,1,1,1,,,,
simple,BW-100305,The Last Sister (Columbia River Book 1),1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.2,4,5,0.5,1,,,14.95,"Mystery, Thriller & Suspense",,,https://madrasthemes.github.io/assets/bookworm/book-covers/5.jpg,,,,,,,,,0,BookAuthor ,Kendra Elliot,1,1,Format,Hardcover,1,1,1,,,,
simple,BW-100306,Think Like a Monk: Train Your Mind for Peace and Purpose Every Day,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,1.2,12,2,1.5,1,,,16.5, Religion & Spirituality >Rituals & Practice,,,https://madrasthemes.github.io/assets/bookworm/book-covers/6.jpg,,,,,,,,,0,BookAuthor ,Jay Shetty,1,1,Format,Hardcover,1,1,1,,,,
simple,BW-100307,"Broken Faith: Inside the Word of Faith Fellowship, One of America's Most Dangerous Cults",1,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.6,8,6.5,4,1,,,18.99,History > Americas,,,https://madrasthemes.github.io/assets/bookworm/book-covers/47.jpg,,,,,,,,,0,BookAuthor ,Mitch Weiss,1,1,Format,Hardcover,1,1,1,,,,
simple,BW-100308,Open Book: A Memoir,1,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.2,4,1.4,1,1,,,10.35,Biographies & Memoirs,,,https://madrasthemes.github.io/assets/bookworm/book-covers/8.jpg,,,,,,,,,0,BookAuthor ,Jessica Simpson,1,1,Format,Kindle,1,1,1,,,,
simple,BW-100309,"Until the End of Time: Mind, Matter, and Our Search for Meaning in an Evolving Universe",1,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,3,10,8,2,1,,,12.99,Politics & Social Sciences,,,https://madrasthemes.github.io/assets/bookworm/book-covers/9.jpg,,,,,,,,,0,BookAuthor ,Brian Greene,1,1,Format,Hardcover,1,1,1,,,,
simple,BW-1003010,Blindside (Michael Bennett Book 12),1,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,2,8,6,2,1,,,15.99,"Mystery, Thriller & Suspense",,,https://madrasthemes.github.io/assets/bookworm/book-covers/10.jpg,,,,,,,,,0,BookAuthor ,James Patterson,1,1,Format,Kindle,1,1,1,,,,
