Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
simple,HG-100301,"Coconut, Indonesia (piece)",1,1,visible,This is a variable product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.5,24,1,2,1,,,15.99,Fruits and Vegetables > Vegetables,,,https://madrasthemes.github.io/assets/cartzilla/home-grocery/3.jpg,,,,,,,,,0,Color,"Blue, Green, Red",1,1,Size,"Large, Medium, Small",1,1,1,,,,
simple,HG-100302,Soft Creme Cheese (200g),1,0,visible,This is a variable product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,1.5,10,8,3,1,,28.5,13.5,Dairy and Eggs > Cheese > Soft cheese,,,https://madrasthemes.github.io/assets/cartzilla/home-grocery/4.jpg,,,,,,,,,0,Color,"Blue, Green, Red",1,1,Logo,"Yes, No",1,0,1,,,,
simple,HG-100303,Pepsi Soda Can (.33ml),1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,2,10,6,3,1,,,23.9,Soft Drinks and Juice > Cocoa drinks,,,https://madrasthemes.github.io/assets/cartzilla/home-grocery/7.jpg,,,,,,,,,0,Color,Blue,1,1,,,,,1,,,,
simple,HG-100304,"Fresh Orange, Spain (1kg)",1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.8,8,6,1,1,,,16.99,Fruits and Vegetables > Fruits > Citrus,,,https://madrasthemes.github.io/assets/cartzilla/home-grocery/6.jpg,,,,,,,,,0,Color,Gray,1,1,,,,,1,,,,
simple,HG-100305,Moisture Body Lotion (250ml),1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.2,4,5,0.5,1,,,10,Personal hygiene > Lotions and Creams,,,https://madrasthemes.github.io/assets/cartzilla/home-grocery/1.jpg,,,,,,,,,0,Color,Red,1,1,,,,,1,,,,
simple,HG-100306,Nut Chocolate Paste (750g),1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,1.2,12,2,1.5,1,,,18.8,Bakery > Snacks > Sweets and Chips,,,https://madrasthemes.github.io/assets/cartzilla/home-grocery/5.jpg,,,,,,,,,0,,,,,,,,,1,,,,
simple,HG-100307,Mozzarella Mini Cheese,1,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.6,8,6.5,4,1,,,24.99,Dairy and Eggs > Cheese > Hard cheese,,,https://madrasthemes.github.io/assets/cartzilla/home-grocery/2.jpg,,,,,,,,,0,Color,Yellow,1,1,,,,,1,,,,
simple,HG-100308,Mozzarella Cheese (125g),1,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.2,4,1.4,1,1,,,23,Dairy and Eggs > Cheese > Semi-hard cheese,,,https://madrasthemes.github.io/assets/cartzilla/home-grocery/12.jpg,,,,,,,,,0,,,,,,,,,1,,,,
simple,HG-100309,Sardine in Tomato Sauce (105g),1,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,3,10,8,2,1,,17.99,24.99,Sauces and Spices > Sauces > Tomato paste,,,https://madrasthemes.github.io/assets/cartzilla/home-grocery/13.jpg,,,,,,,,,0,Color,Gray,1,1,,,,,1,,,,
simple,HG-1003010,Steak Salmon Fillet (1kg),1,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,2,8,6,2,1,,,26.99,Fish and Seafood > Fresh fish ,,,https://madrasthemes.github.io/assets/cartzilla/home-grocery/10.jpeg,,,,,,,,,0,,,,,,,,,1,,,,
simple,HG-1003011,Corn Oil Bottle (500ml),1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,1,7,5,1,1,,18.99,28.9,Canned Food and Oil > Oils and vinegar,,,https://madrasthemes.github.io/assets/cartzilla/home-grocery/17.jpg,,,,,,,,,0,Color,Green,1,1,,,,,1,,,,
simple,HG-1003012,Dark Chocolate with Nuts,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.8,6,5,1,1,,21.99,25,Bakery > Snacks > Sweets and Chips,,,https://madrasthemes.github.io/assets/cartzilla/home-grocery/9.jpeg,,,,,,,,,0,Color,Blue,1,1,,,,,1,,,,
simple,HG-1003013,Frozen Oven-ready Poultry,1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,0,0,,,,,1,,,24.99,Meat and Poultry > Fresh meat > Chicken,,,https://madrasthemes.github.io/assets/cartzilla/home-grocery/16.jpg,1,1,,,,,,,0,,,,,,,,,1,Single 1,https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/single.jpg,Single 2,https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/album.jpg
