Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
Simple,MPS-100301,Floating Phone and Tablet Mockup (PSD),1,1,visible,This is a variable product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.5,24,1,2,1,,,15.99,Graphics > Icons,,,https://madrasthemes.github.io/assets/cartzilla/marketplace-shop/3.jpg,,,,,,,,,0,Color,"Blue, Green, Red",1,1,Size,"Large, Medium, Small",1,1,1,,,,
Simple,MPS-100302,Gravity Device Mockups (PSD),1,0,visible,This is a variable product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,1.5,10,8,3,1,,28.5,13.5,Graphics > Illustartions,,,https://madrasthemes.github.io/assets/cartzilla/marketplace-shop/1.jpg,,,,,,,,,0,Color,"Blue, Green, Red",1,1,Logo,"Yes, No",1,0,1,,,,
Simple,MPS-100303,Business Card Branding Mockup,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,2,10,6,3,1,,,23.9,Graphics > Patterns,,,https://madrasthemes.github.io/assets/cartzilla/marketplace-shop/2.jpg,,,,,,,,,0,Color,Blue,1,1,,,,,1,,,,
Simple,MPS-100304,Project Devices Showcase (PSD),1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.8,8,6,1,1,,,16.99,UI Design > PSD Templates,,,https://madrasthemes.github.io/assets/cartzilla/marketplace-shop/4.jpg,,,,,,,,,0,Color,Gray,1,1,,,,,1,,,,
Simple,MPS-100305,Square Style Mobile UI Kit (Sketch),1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.2,4,5,0.5,1,,,10,UI Design > Sketch Templates,,,https://madrasthemes.github.io/assets/cartzilla/marketplace-shop/11.jpg,,,,,,,,,0,Color,Red,1,1,,,,,1,,,,
Simple,MPS-100306,Isometric Device Mockups (PSD),1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,1.2,12,2,1.5,1,,,18.8,UI Design > Adobe XD Templates,,,https://madrasthemes.github.io/assets/cartzilla/marketplace-shop/8.jpg,,,,,,,,,0,,,,,,,,,1,,,,
Simple,MPS-100307,Coffe Paper Cup Mockup,1,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.6,8,6.5,4,1,,,24.99,UI Design > Figma Templates,,,https://madrasthemes.github.io/assets/cartzilla/marketplace-shop/9.jpg,,,,,,,,,0,Color,Yellow,1,1,,,,,1,,,,
Simple,MPS-100308,Travel & Landmark Icon Pack (AI),1,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.2,4,1.4,1,1,,,23,UI Design > Adobe XD Templates,,,https://madrasthemes.github.io/assets/cartzilla/marketplace-shop/7.jpg,,,,,,,,,0,,,,,,,,,1,,,,
Simple,MPS-100309,Minimal Mobile App UI Kit (Sketch),1,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,3,10,8,2,1,,17.99,24.99,UI Design > PSD Templates,,,https://madrasthemes.github.io/assets/cartzilla/marketplace-shop/5.jpg,,,,,,,,,0,Color,Gray,1,1,,,,,1,,,,
Simple,MPS-1003010,Printed T-Shirt Mockup (PSD),1,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,2,8,6,2,1,,,26.99,Graphics > Textures,,,https://madrasthemes.github.io/assets/cartzilla/marketplace-shop/10.jpg,,,,,,,,,0,,,,,,,,,1,,,,
Simple,MPS-1003011,Corporate Branding Mockup (PSD),1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,1,7,5,1,1,,18.99,28.9,Graphics > Web Elements,,,https://madrasthemes.github.io/assets/cartzilla/marketplace-shop/12.jpg,,,,,,,,,0,Color,Green,1,1,,,,,1,,,,
Simple,MPS-1003015,Flat-line E-Commerce Icons (AI),1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,0,0,,,,,0,,,23.99,Graphics > Web Elements,,,https://madrasthemes.github.io/assets/cartzilla/marketplace-shop/6.jpg,,,,,,,,,0,Color,Red,,1,Size,,,1,,,,,
