Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
variable,SH-100301,Women Color block Sneakers,1,1,visible,This is a variable product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.5,24,1,2,1,,,154,Shoes > Women's shoes > Sneakers & Keds,,,https://madrasthemes.github.io/assets/cartzilla/shop/4.jpg,,,,,,,,,0,Color,"Blue, Green, Red",1,1,Size,"Large, Medium, Small",1,1,1,,,,
variable,SH-100302,Cotton Lace Blouse,1,0,visible,This is a variable product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,1.5,10,8,3,1,,28.5,38.5,Clothing > Women's clothing,,,https://madrasthemes.github.io/assets/cartzilla/shop/5.jpg,,,,,,,,,0,Color,"Blue, Green, Red",1,1,Logo,"Yes, No",1,0,1,,,,
simple,SH-100303,Mom High Waist Shorts,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,2,10,6,3,1,,,39.9,Clothing > Women's clothing > Women’s Shorts,,,https://madrasthemes.github.io/assets/cartzilla/shop/8.jpg,,,,,,,,,0,Color,Blue,1,1,,,,,1,,,,
simple,SH-100304,Two-Piece Bikini in Print,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.8,8,6,1,1,,,49.99,Clothing > Women's clothing > Women's Swimwear,,,https://madrasthemes.github.io/assets/cartzilla/shop/10.jpg,,,,,,,,,0,Color,Gray,1,1,,,,,1,,,,
simple,SH-100305,Women Sports Jacket,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.2,4,5,0.5,1,,,68.4,Shoes > Women's shoes > Sportswear,,,https://madrasthemes.github.io/assets/cartzilla/shop/11.jpeg,,,,,,,,,0,Color,Red,1,1,,,,,1,,,,
simple,SH-100306,Polarized Sunglasses,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,1.2,12,2,1.5,1,,,32.8,Accessories > Sunglasses > Men’s Sunglasses,,,https://madrasthemes.github.io/assets/cartzilla/shop/15.jpeg,,,,,,,,,0,,,,,,,,,1,,,,
simple,SH-100307,TH Jeans City Backpack,1,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.6,8,6.5,4,1,,,79.99,Accessories > Bags > Backpacks,,,https://madrasthemes.github.io/assets/cartzilla/shop/12.jpg,,,,,,,,,0,Color,Yellow,1,1,,,,,1,,,,
simple,SH-100308,Soft Footbed Sandals,1,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.2,4,1.4,1,1,,,99.8,Shoes > Men's shoes > Men’s Sandals,,,https://madrasthemes.github.io/assets/cartzilla/shop/7.jpeg,,,,,,,,,0,,,,,,,,,1,,,,
simple,SH-100309,5-Pack Multicolor Bracelets,1,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,3,10,8,2,1,,17.99,24.99,Accessories > Men’s Accessories,,,https://madrasthemes.github.io/assets/cartzilla/shop/6.jpeg,,,,,,,,,0,Color,Gray,1,1,,,,,1,,,,
simple,SH-1003010,Cotton Polo Regular Fit,1,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,2,8,6,2,1,,,26.99,Clothing > Men's clothing > Men’s T-shirts,,,https://madrasthemes.github.io/assets/cartzilla/shop/3.jpg,,,,,,,,,0,,,,,,,,,1,,,,
