Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
simple,FN-100301,Rain Bird P2A Water Pressure Test Gauge,1,1,visible,This is a variable product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.5,24,1,2,1,,43,54.00,Smart Home & Tools,,,https://madrasthemes.github.io/assets/xero/furniture/1.jpeg,,,,,,,,,0,,,1,1,,,1,1,1,,,,
simple,FN-100302,"TaoTronics UV Flashlight Blacklight, 12 Ultraviolet",1,0,visible,This is a variable product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,1.5,10,8,3,1,,,109.0,Smart Home & Tools,,,https://madrasthemes.github.io/assets/xero/furniture/2.jpg,,,,,,,,,0,,,1,1,,,1,1,1,,,,
simple,FN-100303,TP-Link Bluetooth 4.1 Receiver RCA 3.5mm,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,2,10,6,3,1,,,109.0,Smart Home & Tools,,,https://madrasthemes.github.io/assets/xero/furniture/3.jpg,,,,,,,,,0,,,1,1,,,1,1,1,,,,
simple,FN-100304,"Amir Upgraded 2 in 1 Solar Lights, Waterproof",1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.8,8,6,1,1,,43,54.00,Smart Home & Tools,,,https://madrasthemes.github.io/assets/xero/furniture/4.jpg,,,,,,,,,0,,,1,1,,,1,1,1,,,,
simple,FN-100305,iBaby Wall Mount for the M6/M6T/M6S Baby,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.2,4,5,0.5,1,,43,54.00,Smart Home & Tools,,,https://madrasthemes.github.io/assets/xero/furniture/5.jpg,,,,,,,,,0,,,1,1,,,1,1,1,,,,
simple,FN-100306,Rain Bird P2A Water Pressure Test Gauge,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,1.2,12,2,1.5,1,,43,54.00,Smart Home & Tools,,,https://madrasthemes.github.io/assets/xero/furniture/6.jpg,,,,,,,,,0,,,1,1,,,1,1,1,,,,
simple,FN-100307,"TaoTronics UV Flashlight Blacklight, 12 Ultraviolet",1,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.6,8,6.5,4,1,,,109,Smart Home & Tools,,,https://madrasthemes.github.io/assets/xero/furniture/7.jpg,,,,,,,,,0,,,1,1,,,1,1,1,,,,
simple,FN-100308,TP-Link Bluetooth 4.1 Receiver RCA 3.5mm,1,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.2,4,1.4,1,1,,,109,Smart Home & Tools,,,https://madrasthemes.github.io/assets/xero/furniture/8.jpg,,,,,,,,,0,,,1,1,,,1,1,1,,,,
simple,FN-100309,"Amir Upgraded 2 in 1 Solar Lights, Waterproof",1,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,3,10,8,2,1,,43.00,54.00,Smart Home & Tools,,,https://madrasthemes.github.io/assets/xero/furniture/9.jpeg,,,,,,,,,0,,,1,1,,,1,1,1,,,,
simple,FN-1003010,iBaby Wall Mount for the M6/M6T/M6S Baby,1,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,2,8,6,2,1,,43,54.00,Smart Home & Tools,,,https://madrasthemes.github.io/assets/xero/furniture/10.jpg,,,,,,,,,0,,,1,1,,,1,1,1,,,,
simple,FN-1003011,iBaby Wall Mount for the M6/M6T/M6S Baby,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,1,7,5,1,1,,43,54.00,Smart Home & Tools,,,https://madrasthemes.github.io/assets/xero/furniture/11.jpg,,,,,,,,,0,,,1,1,,,1,1,1,,,,
simple,FN-1003012,iBaby Wall Mount for the M6/M6T/M6S Baby,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.8,6,5,1,1,,43,54.00,Smart Home & Tools,,,https://madrasthemes.github.io/assets/xero/furniture/12.jpg,,,,,,,,,0,,,1,1,,,1,1,1,,,,
